,Date,Open,High,Low,Close*,Adj Close**,Volume
1105,"Jan 08, 2019",449.14,456.61,449.14,452.87,452.87,-
1106,"Jan 07, 2019",443.41,452.54,440.34,449.14,449.14,-
1107,"Jan 04, 2019",428.07,444.2,428.07,443.41,443.41,-
1108,"Jan 03, 2019",432.85,435.22,423.72,428.07,428.07,-
1109,"Jan 02, 2019",424.07,435.44,416.1,432.85,432.85,-
1110,"Dec 31, 2018",422.16,427.37,419.4,424.07,424.07,-
1111,"Dec 28, 2018",425.97,429.04,419.63,422.16,422.16,-
1112,"Dec 27, 2018",423.26,426.0,409.13,425.97,425.97,-
1113,"Dec 26, 2018",398.39,423.28,395.14,423.26,423.26,-
1114,"Dec 24, 2018",415.06,415.06,398.39,398.39,398.39,-
1115,"Dec 21, 2018",419.45,426.47,412.09,415.06,415.06,-
1116,"Dec 20, 2018",431.5,432.81,417.02,419.45,419.45,-
1117,"Dec 19, 2018",436.96,446.95,428.26,431.5,431.5,-
1118,"Dec 18, 2018",447.46,448.33,434.57,436.96,436.96,-
1119,"Dec 17, 2018",455.93,458.49,444.6,447.46,447.46,-
1120,"Dec 14, 2018",467.05,467.05,453.83,455.93,455.93,-
1121,"Dec 13, 2018",465.37,469.62,462.27,467.05,467.05,-
1122,"Dec 12, 2018",463.86,474.37,463.86,465.37,465.37,-
1123,"Dec 11, 2018",463.72,471.54,458.92,463.86,463.86,-
1124,"Dec 10, 2018",471.34,471.34,453.14,463.72,463.72,-
1125,"Dec 07, 2018",474.39,489.95,470.5,471.34,471.34,-
1126,"Dec 06, 2018",482.93,482.93,464.16,474.39,474.39,-
1127,"Dec 04, 2018",497.52,499.14,482.2,482.93,482.93,-
1128,"Dec 03, 2018",486.42,500.45,486.42,497.52,497.52,-
1129,"Nov 30, 2018",487.6,488.01,480.95,486.42,486.42,-
1130,"Nov 29, 2018",484.76,491.44,484.17,487.6,487.6,-
1131,"Nov 28, 2018",476.45,484.77,472.94,484.76,484.76,-
1132,"Nov 27, 2018",478.03,479.58,473.65,476.45,476.45,-
1133,"Nov 26, 2018",469.96,480.7,469.96,478.03,478.03,-
1134,"Nov 23, 2018",485.82,485.82,466.92,469.96,469.96,-
1135,"Nov 21, 2018",478.27,490.84,478.27,485.82,485.82,-
1136,"Nov 20, 2018",494.55,494.55,474.73,478.27,478.27,-
1137,"Nov 19, 2018",495.03,496.47,490.24,494.55,494.55,-
1138,"Nov 16, 2018",489.65,496.4,489.63,495.03,495.03,-
1139,"Nov 15, 2018",482.52,489.69,474.84,489.65,489.65,-
1140,"Nov 14, 2018",483.03,492.92,478.52,482.52,482.52,-
1141,"Nov 13, 2018",494.86,496.23,481.3,483.03,483.03,-
1142,"Nov 12, 2018",505.68,511.05,494.27,494.86,494.86,-
1143,"Nov 09, 2018",507.56,508.93,497.16,505.68,505.68,-
1144,"Nov 08, 2018",519.0,520.88,506.21,507.56,507.56,-
1145,"Nov 07, 2018",510.77,520.62,510.77,519.0,519.0,-
1146,"Nov 06, 2018",509.06,511.83,505.07,510.77,510.77,-
