Date,Price,Open,High,Low,Vol.,Change %
01/22/2018,196.54,194.87,196.54,194.59,,0.97%
01/19/2018,194.65,193.69,194.7,193.18,,0.67%
01/18/2018,193.36,194.87,194.87,192.97,,-0.98%
01/17/2018,195.28,194.6,195.65,193.73,,0.69%
01/16/2018,193.95,193.48,197.1,193.48,,0.48%
01/12/2018,193.02,194.51,194.57,192.52,,-0.73%
01/11/2018,194.43,196.31,196.43,194.04,,-0.67%
01/10/2018,195.74,197.53,197.53,194.83,,-1.54%
01/09/2018,198.81,201.15,201.18,198.74,,-1.14%
01/08/2018,201.1,200.01,201.43,200.01,,0.59%
01/05/2018,199.93,199.94,200.16,199.31,,0.28%
01/04/2018,199.38,202.78,202.78,199.38,,-1.72%
01/03/2018,202.87,202.8,203.33,202.27,,0.10%
01/02/2018,202.66,204.22,204.27,202.52,,-0.59%
12/29/2017,203.86,204.14,204.55,203.55,,-0.09%
12/28/2017,204.05,202.96,204.07,202.45,,0.47%
12/27/2017,203.09,202.69,203.39,202.38,,0.40%
12/26/2017,202.28,201.35,202.71,201.01,,0.48%
12/22/2017,201.31,200.12,201.5,199.96,,0.74%
12/21/2017,199.84,201.15,201.23,199.63,,-0.37%
12/20/2017,200.59,202.82,203.13,200.59,,-1.08%
12/19/2017,202.78,206.73,206.9,202.45,,-1.89%
12/18/2017,206.68,206.47,207.68,206.47,,0.33%
12/15/2017,206.01,205.85,206.63,205.45,,0.30%
12/14/2017,205.4,205.53,206.19,205.13,,-0.09%
12/13/2017,205.59,205.99,207.13,205.47,,-0.01%
12/12/2017,205.61,205.23,206.24,204.05,,0.43%
12/11/2017,204.73,204.3,204.79,203.64,,0.20%
12/08/2017,204.33,204.24,204.71,203.78,,0.25%
12/07/2017,203.83,202.88,204.12,202.48,,0.35%
12/06/2017,203.12,202.95,203.44,202.15,,0.16%
12/05/2017,202.8,203.65,203.95,202.72,,-0.41%
12/04/2017,203.63,206.72,207.17,203.58,,-1.29%
12/01/2017,206.29,206.34,207.0,204.58,,0.18%
11/30/2017,205.91,205.89,206.48,205.18,,0.07%
11/29/2017,205.76,205.97,206.27,204.48,,-0.19%
11/28/2017,206.16,206.99,207.02,205.17,,-0.28%
11/27/2017,206.74,207.56,207.63,206.71,,-0.27%
11/24/2017,207.31,207.11,207.7,206.9,,0.37%
11/22/2017,206.55,207.07,207.3,206.24,,-0.35%
11/21/2017,207.28,206.43,207.43,206.43,,0.56%
11/20/2017,206.12,206.76,206.96,205.91,,-0.29%
11/17/2017,206.71,207.42,208.05,206.59,,-0.56%
11/16/2017,207.88,207.24,208.41,207.08,,0.39%
11/15/2017,207.07,208.39,208.51,207.0,,-0.82%
11/14/2017,208.79,208.78,209.25,208.24,,-0.17%
11/13/2017,209.14,209.08,209.65,208.46,,0.31%
11/10/2017,208.49,207.75,209.0,207.63,,-0.01%
