,Open,High,Low,Close*,Adj Close**,Volume,Date1,Difference
639,255.97,258.86,251.46,253.82,253.82,"265,496,900",2020-11-11,-2.1500000000000057
640,249.67,256.04,247.72,255.97,255.97,"343,248,000",2020-11-10,6.300000000000011
641,218.58,254.94,218.58,249.67,249.67,"533,195,100",2020-11-09,31.089999999999975
642,223.36,226.64,217.78,218.58,218.58,"244,340,700",2020-11-06,-4.780000000000001
643,223.45,227.92,223.26,223.36,223.36,"278,925,200",2020-11-05,-0.08999999999997499
644,223.09,228.8,217.69,223.45,223.45,"296,169,400",2020-11-04,0.3599999999999852
645,224.77,228.43,221.2,223.09,223.09,"231,568,600",2020-11-03,-1.6800000000000068
646,216.82,227.45,215.95,224.77,224.77,"282,446,500",2020-11-02,7.950000000000017
647,216.41,217.17,211.94,216.82,216.82,"298,983,700",2020-10-30,0.4099999999999966
648,209.69,217.07,204.51,216.41,216.41,"286,016,100",2020-10-29,6.719999999999999
649,218.92,218.92,208.74,209.69,209.69,"320,561,600",2020-10-28,-9.22999999999999
650,221.99,221.99,218.56,218.92,218.92,"236,084,100",2020-10-27,-3.0700000000000216
651,229.96,229.96,219.76,221.99,221.99,"248,798,800",2020-10-26,-7.969999999999999
652,231.24,233.84,227.39,229.96,229.96,"242,955,700",2020-10-23,-1.2800000000000011
653,222.01,231.62,221.13,231.24,231.24,"282,818,100",2020-10-22,9.230000000000018
654,226.51,226.51,221.99,222.01,222.01,"253,789,100",2020-10-21,-4.5
655,223.97,228.39,223.75,226.51,226.51,"248,190,200",2020-10-20,2.539999999999992
656,228.78,230.81,223.85,223.97,223.97,"257,123,800",2020-10-19,-4.810000000000002
657,234.18,234.18,228.58,228.78,228.78,"240,839,200",2020-10-16,-5.400000000000006
658,231.47,234.27,225.54,234.18,234.18,"216,864,200",2020-10-15,2.710000000000008
659,230.76,236.81,230.76,231.47,231.47,"220,547,800",2020-10-14,0.710000000000008
660,234.41,235.67,230.05,230.76,230.76,"192,767,300",2020-10-13,-3.6500000000000057
661,233.68,235.16,230.57,234.41,234.41,"183,840,900",2020-10-12,0.7299999999999898
662,237.46,240.14,233.34,233.71,233.71,"219,187,100",2020-10-09,-3.75
663,228.82,237.64,228.82,237.46,237.46,"218,970,700",2020-10-08,8.640000000000015
664,225.56,229.39,224.39,228.78,228.78,"203,409,700",2020-10-07,3.219999999999999
665,229.05,233.64,225.19,225.54,225.54,"248,891,000",2020-10-06,-3.5100000000000193
666,222.55,229.04,222.55,229.01,229.01,"208,041,100",2020-10-05,6.4599999999999795
667,220.36,224.28,214.35,222.55,222.55,"275,022,300",2020-10-02,2.1899999999999977
668,227.49,227.49,219.05,220.36,220.36,"301,588,300",2020-10-01,-7.1299999999999955
669,228.03,231.87,226.25,227.49,227.49,"241,233,800",2020-09-30,-0.539999999999992
670,234.42,234.42,225.63,228.03,228.03,"242,896,400",2020-09-29,-6.389999999999986
671,229.09,237.02,229.09,234.42,234.42,"260,874,600",2020-09-28,5.329999999999984
672,229.24,230.81,225.54,229.09,229.09,"250,481,100",2020-09-25,-0.15000000000000568
673,229.05,233.26,224.26,229.24,229.24,"246,704,600",2020-09-24,0.18999999999999773
674,239.96,241.58,228.93,229.05,229.05,"238,281,600",2020-09-23,-10.909999999999997
675,242.45,246.34,239.53,239.96,239.96,"194,574,300",2020-09-22,-2.4899999999999807
676,250.65,250.65,238.44,242.45,242.45,"265,958,500",2020-09-21,-8.200000000000017
677,253.58,253.58,248.11,250.65,250.65,"364,464,400",2020-09-18,-2.930000000000007
678,253.06,253.67,246.57,253.58,253.58,"235,732,000",2020-09-17,0.5200000000000102
679,243.22,256.27,243.22,253.06,253.06,"298,937,400",2020-09-16,9.840000000000003
680,245.09,248.94,242.58,243.22,243.22,"229,305,400",2020-09-15,-1.8700000000000045
681,243.58,247.21,242.3,245.09,245.09,"227,116,500",2020-09-14,1.509999999999991
682,242.96,245.02,241.46,243.58,243.58,"259,485,600",2020-09-11,0.6200000000000045
683,252.21,253.19,242.89,242.96,242.96,"303,824,000",2020-09-10,-9.25
684,250.67,255.07,250.67,252.21,252.21,"243,539,900",2020-09-09,1.5400000000000205
