Date,Price,Open,High,Low,Vol.,Change %
12/22/2017,266.59,266.36,267.59,266.36,,0.15%
12/21/2017,266.2,266.59,267.56,265.16,,-1.19%
12/20/2017,269.4,271.37,272.27,269.29,,-0.78%
12/19/2017,271.52,276.72,276.86,271.44,,-1.80%
12/18/2017,276.5,279.93,280.67,276.18,,-1.16%
12/15/2017,279.74,279.02,280.67,278.99,,0.37%
12/14/2017,278.7,278.75,280.03,276.55,,-0.14%
12/13/2017,279.1,279.25,280.39,278.37,,0.27%
12/12/2017,278.36,282.32,282.49,278.28,,-1.75%
12/11/2017,283.31,281.07,283.42,280.49,,0.61%
12/08/2017,281.58,280.24,281.6,279.2,,0.32%
12/07/2017,280.68,280.13,280.69,278.55,,0.10%
12/06/2017,280.41,279.81,280.89,278.86,,0.38%
12/05/2017,279.34,282.71,283.05,278.04,,-1.24%
12/04/2017,282.85,284.98,285.72,282.42,,-0.58%
12/01/2017,284.51,286.27,286.99,283.05,,-0.35%
11/30/2017,285.52,284.69,286.04,284.32,,0.30%
11/29/2017,284.67,283.88,285.87,282.65,,0.06%
11/28/2017,284.5,283.76,285.11,283.76,,0.43%
11/27/2017,283.29,282.22,283.7,281.72,,0.46%
11/24/2017,281.99,281.87,283.2,281.61,,0.16%
11/22/2017,281.55,281.78,282.05,280.5,,-0.03%
11/21/2017,281.63,281.46,282.52,281.03,,0.24%
11/20/2017,280.96,282.13,282.27,280.59,,-0.31%
11/17/2017,281.84,283.37,283.82,281.59,,-0.74%
11/16/2017,283.95,284.63,284.98,283.23,,-0.40%
11/15/2017,285.1,288.31,289.49,284.96,,-0.95%
11/14/2017,287.82,283.77,287.94,283.28,,1.20%
11/13/2017,284.42,281.5,284.66,281.42,,1.16%
11/10/2017,281.17,281.1,281.75,280.19,,-0.44%
11/09/2017,282.4,281.33,282.87,281.01,,0.11%
11/08/2017,282.1,281.82,282.99,280.28,,-0.03%
11/07/2017,282.19,279.08,282.53,278.27,,1.23%
11/06/2017,278.75,279.94,280.35,278.61,,-0.43%
